method,n_windows,n_windows_valid,threshold_used,precision_mean,precision_sd,precision_min,precision_max,precision_cv,recall_mean,recall_sd,recall_min,recall_max,recall_cv,f1_mean,f1_sd,f1_min,f1_max,f1_cv,alerts_per_day_mean,alerts_per_day_sd,alerts_per_day_min,alerts_per_day_max,stability_note
beta,19,18,0.058,0.09857581940490019,0.03239682605567229,0.031578947368421054,0.16030534351145037,0.3286488131800591,0.18904502403875664,0.1330435689896492,0,0.4135188866799205,0.7037665744768483,0.12028222931051913,0.050755776868519835,0.026548672566371685,0.19687212511499538,0.4219723658221311,23.594736842105263,23.442810009267323,0,62.733333333333334,Fixed-threshold performance stability across rolling windows
platt,19,18,0.061,0.09861231828856899,0.03345893556622936,0.022222222222222223,0.15503875968992248,0.33929772818359827,0.1852342033480485,0.1324376339722133,0,0.40556660039761433,0.7149739712129066,0.11943814613366915,0.052136089424176725,0.018099547511312215,0.200374531835206,0.4365112077830532,22.989473684210527,22.877130347084158,0,61.56666666666667,Fixed-threshold performance stability across rolling windows
raw,19,18,0.91,0.10673106165273188,0.04311999576231422,0.015384615384615385,0.18446601941747573,0.4040060606031695,0.16694116580162444,0.12396646272123836,0,0.3717693836978131,0.7425757579083115,0.11986649323034868,0.05845213519590583,0.010204081632653062,0.20951362907536075,0.4876436577115655,19.280701754385966,19.628183679136242,0,52.96666666666667,Fixed-threshold performance stability across rolling windows
