method,policy_type,policy_target,selected_split,selected_threshold,val_precision,val_recall,val_alerts_per_day,val_f1,test_precision,test_recall,test_alerts_per_day,test_f1,test_kappa,test_tp,test_fp,test_tn,test_fn,notes
beta,alerts_per_day_cap,30,validation_threshold_select,0.066,0.106071964017991,0.25313059033989266,29.318681318681318,0.14949815108293713,0.11512415349887133,0.22878504672897196,19.58011049723757,0.15317231885871604,0.14862996468270728,1224,9408,1319393,4126,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,f1_max,NA,validation_threshold_select,0.07,0.11175979983319433,0.23971377459749552,26.35164835164835,0.15244596131968147,0.1198329853862213,0.21457943925233644,17.642725598526702,0.1537843268586738,0.14940702714821605,1148,8432,1320369,4202,beta calibration; threshold selected on threshold-select subset (strict mode)
isotonic,precision_floor,0.05,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.1,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.15,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,alerts_per_day_cap,5,validation_threshold_select,0.052,0,0,5,NA,0.0014689680499449136,7.476635514018691e-4,5.014732965009208,9.90957512696643e-4,-0.0017188430193131627,4,2719,1326082,5346,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,10,validation_threshold_select,0.043,0.0011337868480725624,8.944543828264759e-4,9.692307692307692,0.001,7.676069852235655e-4,7.476635514018691e-4,9.596685082872929,7.575040242401288e-4,-0.0032124707234880354,4,5207,1323594,5346,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,20,validation_threshold_select,0.031,5.543237250554324e-4,8.944543828264759e-4,19.824175824175825,6.844626967830253e-4,8.317161075686166e-4,0.0016822429906542056,19.92817679558011,0.001113103704161771,-0.0042765721057674375,9,10812,1317989,5341,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,30,validation_threshold_select,0.026,3.7230081906180194e-4,8.944543828264759e-4,29.516483516483518,5.257623554153522e-4,5.581741503349045e-4,0.0016822429906542056,29.69429097605893,8.382229673093044e-4,-0.005215153151441351,9,16115,1312686,5341,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,f1_max,NA,validation_threshold_select,0.0025,0.008181267254730321,0.4347048300536673,652.7912087912088,0.016060275602260334,0.006103814087150993,0.3938317757009346,635.7163904235728,0.012021315441142908,0.0041564625934766754,2107,343087,985714,3243,isotonic calibration; threshold selected on threshold-select subset (strict mode)
