method,role,policy_type,policy_target,threshold,precision,recall,f1,alerts_per_day,precision_ci_lower,precision_ci_upper,recall_ci_lower,recall_ci_upper,f1_ci_lower,f1_ci_upper,precision_temporal_sd,recall_temporal_sd,f1_temporal_sd,f1_temporal_cv,n_temporal_windows,deployment_precision_floor,deployment_ready
platt,default,precision_floor,0.1,0.061,0.1047008547008547,0.25644859813084114,0.14869405007044542,24.132596685082873,0.09979024320519515,0.10983372756585127,0.24693081326556166,0.2673549686005621,0.14225230351563029,0.1549170159328276,0.03345893556622936,0.1324376339722133,0.052136089424176725,0.4365112077830532,18,0.05,TRUE
beta,sensitivity,precision_floor,0.1,0.058,0.10357647408729273,0.26037383177570095,0.1481993723070376,24.76795580110497,0.09859145847836473,0.10857542053346243,0.2520091425368859,0.27095980743666304,0.14174926202502006,0.1544901997844167,0.03239682605567229,0.1330435689896492,0.050755776868519835,0.4219723658221311,18,0.05,TRUE
