split,n_rows,n_days,n_positive,prevalence,roc_auc,pr_auc,brier_score,logloss,ece_equal,ece_quantile,ece_quantile_fallback,calibration_intercept,calibration_slope,logloss_platt,brier_platt,ece_equal_platt,ece_quantile_platt,cal_intercept_platt,cal_slope_platt,logloss_isotonic,brier_isotonic,ece_equal_isotonic,ece_quantile_isotonic,cal_intercept_isotonic,cal_slope_isotonic,logloss_beta,brier_beta,ece_equal_beta,ece_quantile_beta,cal_intercept_beta,cal_slope_beta,best_threshold_from_val,f1_at_best_t,precision_at_best_t,recall_at_best_t,kappa_at_best_t,alerts_per_day_at_best_t
validation,447174,182,1695,0.0037904708234378563,0.9178279902767476,0.06332247001917359,0.07233024018327851,0.2248942078640181,0.14393941073530853,0.14393941073531377,FALSE,-4.748890118357304,0.899547814535105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.1338973698730918,0.09727418492784608,0.21474926253687315,0.12935472431957565,20.560439560439562
test,1334151,543,5350,0.004010040842453365,0.9186570941934072,0.08430157178453634,0.06979518177879067,0.2199222413453945,0.13918508273665892,0.13918508273666014,FALSE,-4.693913915315305,0.8787483741758365,0.019490049243871193,0.003814373287101998,1.9421879127385735e-4,2.3859051991211496e-4,0.34309759549409485,1.124252988987906,0.03885180768386534,0.004036256893906288,0.0014812055271660395,0.00405419534555909,-4.915570573891563,0.09484364433534045,0.019491029353252944,0.0038157823503813994,2.220156559280307e-4,1.7966567829361257e-4,0.46023179882675236,1.1495498724672955,0.9,0.14860579551667577,0.10502318392581143,0.25401869158878504,0.14374730551163636,23.830570902394108
