sum_E_count,sum_actual_count,sum_E_minutes,sum_actual_minutes,level,group
601.4138552349609,441,269919.905842333,205823,monthly,2020-07
543.4446726914416,387,251770.2275700909,200869,monthly,2020-08
388.81876567269563,243,179857.84392854583,171114,monthly,2020-09
226.51383806585048,418,106546.908364126,375628,monthly,2020-10
168.23958174855224,208,79978.16525397832,474173,monthly,2020-11
126.55843840552333,174,56229.6873202332,180292,monthly,2020-12
136.97451335213165,142,61119.80333358098,129927,monthly,2021-01
129.26806851375136,568,57321.683015143215,495125,monthly,2021-02
180.74814618290173,157,75731.38771536836,257939,monthly,2021-03
269.5564291041728,262,114824.76110119082,277963,monthly,2021-04
456.25359098724874,647,205081.13640324082,532600,monthly,2021-05
630.6123237196745,662,287391.22644558334,444831,monthly,2021-06
691.6094108603806,651,328279.7998771261,635532,monthly,2021-07
614.8123282945438,837,300434.0702822717,953330,monthly,2021-08
649.3058149584782,715,317270.47056416725,575658,monthly,2021-09
382.08210080989994,320,185222.9634176736,268037,monthly,2021-10
189.38150000574115,139,88992.92879363876,159195,monthly,2021-11
155.36771401452927,113,67704.88847594675,124297,monthly,2021-12
25.931388673944596,31,8998.849900836916,14305,state,MEX.1
99.59905779218104,152,45842.41711343555,72645,state,MEX.10
56.83749938721467,25,22564.62992528747,9906,state,MEX.11
98.09432473760481,62,45270.29380605577,37180,state,MEX.12
115.44741817287834,116,54053.42609865322,68034,state,MEX.13
171.98062938409032,102,82086.92691838786,85733,state,MEX.14
198.19091937105816,145,78452.78957892496,57189,state,MEX.15
154.02436224199806,141,89622.93766964925,959736,state,MEX.16
108.00380360869592,89,38425.4448152069,30454,state,MEX.17
40.54485780879381,31,17995.170138047302,16338,state,MEX.18
419.68066449669175,563,183866.54588680284,388250,state,MEX.19
15.235266949000252,88,7652.9976530918075,113714,state,MEX.2
581.4762690231652,535,350494.82387140807,867180,state,MEX.20
237.21505794769055,198,102236.22818587023,196731,state,MEX.21
28.66315700461834,14,15506.58334166315,21687,state,MEX.22
46.16653441244029,240,19863.31407516687,249940,state,MEX.23
420.865404186239,478,198135.4038917998,231594,state,MEX.24
223.42635212301965,191,92342.61039558366,90332,state,MEX.25
189.72029527571163,180,77862.94186266801,75639,state,MEX.26
512.7070823387539,523,212863.34681899447,533216,state,MEX.27
415.80008650643987,601,212143.1153441143,574309,state,MEX.28
34.37968434809935,14,12298.949534796982,4356,state,MEX.29
40.800537404845144,78,15426.071644642687,30726,state,MEX.3
1090.3674821202776,1171,489764.9321394182,874661,state,MEX.30
70.79220763646089,134,30085.192080307595,100117,state,MEX.31
19.12303899711305,4,8538.875211119699,2586,state,MEX.32
35.214971406536755,30,13866.76912813561,8499,state,MEX.4
669.606371946071,522,334661.197171523,388877,state,MEX.5
152.02081068045084,270,60793.9272278047,146905,state,MEX.6
142.7944720974882,220,61580.654393916884,152263,state,MEX.7
30.58138880772389,23,12257.633358210627,17048,state,MEX.8
95.66969573518597,113,38122.85852271172,42183,state,MEX.9
