split,brier_score,logloss,ece_equal,ece_quantile,calibration_intercept,calibration_slope
validation,0.0649346161555246,0.20539071278110765,0.1358061690311549,0.1358061690311631,-4.579880377067626,0.8839823085214733
test,0.06299467551742648,0.2011655091639155,0.13076335793568056,0.13076335793567653,-4.540610102937478,0.8711469469307814
