method,n_windows,n_windows_valid,threshold_used,precision_mean,precision_sd,precision_min,precision_max,precision_cv,recall_mean,recall_sd,recall_min,recall_max,recall_cv,f1_mean,f1_sd,f1_min,f1_max,f1_cv,alerts_per_day_mean,alerts_per_day_sd,alerts_per_day_min,alerts_per_day_max,stability_note
beta,19,18,0.057,0.09147643426022711,0.02746244595805821,0.03773584905660377,0.1411589895988113,0.3002133410659029,0.1569356971556494,0.11584526405765277,0,0.3658051689860835,0.738170257992718,0.10843417183443198,0.04978771424545634,0.02173913043478261,0.17770929635336416,0.4591515147224728,19.812280701754386,19.789544597428694,0,54.766666666666666,Fixed-threshold performance stability across rolling windows
platt,19,18,0.061,0.09161448877973813,0.027294289598394153,0.038461538461538464,0.1407185628742515,0.29792546967124134,0.15665465951393576,0.11564588116027669,0,0.3658051689860835,0.7382217772462044,0.10845865645425548,0.04970875477604333,0.02185792349726776,0.17825862957238536,0.45831984648462754,19.743859649122808,19.72558986156345,0,54.7,Fixed-threshold performance stability across rolling windows
raw,19,17,0.91,0.10194147607991344,0.0414916885361901,0,0.1726315789473684,0.4070147905614408,0.12597442790328303,0.10275319738615975,0,0.32007952286282304,0.8156671087647137,0.11145020327176486,0.05598402201661959,0.009174311926605505,0.18930041152263372,0.5023231934364965,13.98421052631579,14.414928683169775,0,40.03333333333333,Fixed-threshold performance stability across rolling windows
