method,role,policy_type,policy_target,threshold,precision,recall,f1,alerts_per_day,precision_ci_lower,precision_ci_upper,recall_ci_lower,recall_ci_upper,f1_ci_lower,f1_ci_upper,precision_temporal_sd,recall_temporal_sd,f1_temporal_sd,f1_temporal_cv,n_temporal_windows,deployment_precision_floor,deployment_ready
platt,default,precision_floor,0.1,0.061,0.103252177003732,0.21719626168224299,0.1399662731871838,20.7255985267035,0.09786681002367277,0.10842848126802196,0.20814077599150194,0.22802982420635126,0.1332057375154712,0.1467173566841536,0.027294289598394153,0.11564588116027669,0.04970875477604333,0.45831984648462754,18,0.05,TRUE
beta,sensitivity,precision_floor,0.1,0.057,0.10316125033206411,0.2177570093457944,0.1399987982935769,20.79742173112339,0.09769401248798418,0.10837919403515,0.2084192508758296,0.22879799125096648,0.13313247250119561,0.14669093602939443,0.02746244595805821,0.11584526405765277,0.04978771424545634,0.4591515147224728,18,0.05,TRUE
