threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.0038,5349,1091505,237296,1,1096854,2019.988950276243,0.00487667456197452,0.9998130841121495,0.17857903478398948,0.009706007236409957,0.18187221686300875,0.0017387313944940456,test
0.0039,5349,1086957,241844,1,1092306,2011.6132596685084,0.004896979417855436,0.9998130841121495,0.1820016691739395,0.00974622286034969,0.1852811263492663,0.0017794328725817723,test
0.004,5349,1082571,246230,1,1087920,2003.53591160221,0.004916721817780719,0.9998130841121495,0.1853023891463056,0.009785322930291692,0.18856861029973368,0.0018190053067188548,test
0.0041,5349,1078117,250684,1,1083466,1995.3333333333333,0.004936933877020599,0.9998130841121495,0.18865428307173157,0.009825351574554378,0.19190706299361918,0.0018595175202331818,test
0.0042,5349,1073793,255008,1,1079142,1987.3701657458564,0.004956715612959184,0.9998130841121495,0.19190834443983712,0.009864526432652336,0.19514807544273474,0.0018991656206541305,test
0.0043,5349,1069497,259304,1,1074846,1979.4585635359117,0.004976526869895781,0.9998130841121495,0.1951413341802121,0.009903758206843943,0.19836810076220757,0.0019388713121429584,test
0.0044,5349,1065333,263468,1,1070682,1971.7900552486187,0.004995881129971364,0.9998130841121495,0.19827498624700013,0.009942083506810208,0.20148918675622174,0.0019776595670935996,test
0.0045,5348,1061036,267765,2,1066384,1963.8747697974218,0.005015078995933922,0.9996261682242991,0.20150872854550833,0.009980088342816405,0.2047092120756946,0.0020161310048042243,test
0.0046,5347,1056891,271910,3,1062238,1956.2394106813997,0.005033711842355479,0.9994392523364486,0.2046280820077649,0.010016972839709698,0.20781530726282108,0.0020534686170958455,test
0.0047,5346,1052765,276036,4,1058111,1948.6390423572743,0.005052399984500681,0.9992523364485981,0.20773313686549003,0.010053965307613537,0.21090716118340427,0.0020909155515806688,test
0.0048,5346,1048685,280116,4,1054031,1941.1252302025782,0.005071957086651152,0.9992523364485981,0.21080357404908637,0.010092686200715325,0.2139652857884902,0.0021301042173864507,test
0.0049,5346,1044612,284189,4,1049958,1933.624309392265,0.00509163223671804,0.9992523364485981,0.21386874332575007,0.010131639293931249,0.21701816361116547,0.0021695278760420914,test
0.005,5346,1040665,288136,4,1046011,1926.3554327808472,0.0051108449146328285,0.9992523364485981,0.2168390902776262,0.010169675306578804,0.21997659935044833,0.0022080233635225093,test
0.0051,5346,1036732,292069,4,1042078,1919.1123388581952,0.0051301342126021275,0.9992523364485981,0.2197989014156371,0.010207861542750432,0.22292454152490984,0.0022466708773096946,test
0.0052,5345,1032833,295968,5,1038178,1911.9300184162062,0.00514844275259156,0.9990654205607477,0.22273312557711802,0.010244095031470167,0.22584624978731793,0.002283349779490377,test
0.0053,5345,1029068,299733,5,1034413,1904.9963167587478,0.005167181773624268,0.9990654205607477,0.22556650694874553,0.010281189078665041,0.22866826918392297,0.0023208919162831065,test
0.0054,5344,1025315,303486,6,1030659,1898.0828729281768,0.0051850321008209315,0.9988785046728972,0.22839085762277422,0.01031651269438779,0.231480544556051,0.0023566500171052648,test
0.0055,5343,1021645,307156,7,1026988,1891.3222836095765,0.005202592435354649,0.9986915887850467,0.23115274597174446,0.01035126092423218,0.2342306080795952,0.002391825826554913,test
0.0056,5343,1018018,310783,7,1023361,1884.6427255985268,0.005221031483513638,0.9986915887850467,0.2338822743209856,0.01038775710573718,0.23694919090867525,0.002428762898161365,test
0.0057,5343,1014352,314449,7,1019695,1877.891344383057,0.005239802097686073,0.9986915887850467,0.2366411524374229,0.01042490817476306,0.2396970058111863,0.002466362757412885,test
0.0058,5343,1010631,318170,7,1015974,1871.0386740331492,0.005258992848242179,0.9986915887850467,0.2394414212511881,0.010462889347552783,0.24248604543263844,0.0025048027365106606,test
0.0059,5343,1007064,321737,7,1012407,1864.4696132596684,0.005277521787186379,0.9986915887850467,0.2421257961124352,0.010499559325064826,0.24515965584105548,0.002541915670093944,test
0.006,5343,1003539,325262,7,1008882,1857.9779005524863,0.005295961271982254,0.9986915887850467,0.24477856353208644,0.010536050923260161,0.2478017855550084,0.002578848058685578,test
0.0061,5343,1000061,328740,7,1005404,1851.572744014733,0.005314281622114095,0.9986915887850467,0.24739596071947567,0.010572305427433381,0.2504086868727753,0.002615540478538045,test
0.0062,5343,996644,332157,7,1001987,1845.2799263351749,0.005332404512234191,0.9986915887850467,0.2499674518607376,0.010608167872320782,0.2529698662295347,0.002651836092852608,test
0.0063,5343,993339,335462,7,998682,1839.1933701657458,0.005350051367702632,0.9986915887850467,0.2524546564910773,0.010643087072921976,0.25544709706772323,0.0026871770596515144,test
0.0064,5343,990078,338723,7,995421,1833.1878453038673,0.005367578140304454,0.9986915887850467,0.25490874856355467,0.010677767441302756,0.2578913481307588,0.0027222762996437742,test
0.0065,5343,986685,342116,7,992028,1826.9392265193371,0.005385936687270924,0.9986915887850467,0.257462178309619,0.010714092350142075,0.2604345385192531,0.00275903993238901,test
0.0066,5343,983237,345564,7,988580,1820.5893186003684,0.005404721924376378,0.9986915887850467,0.2600569987530112,0.010751260149105065,0.2630189536266884,0.002796656624301546,test
0.0067,5343,979990,348811,7,985333,1814.609576427256,0.005422532280964913,0.9986915887850467,0.2625005550116233,0.010786497800002624,0.26545271112490265,0.0028323198463929625,test
0.0068,5343,976772,352029,7,982115,1808.683241252302,0.0054402997612295915,0.9986915887850467,0.26492228708437154,0.010821649374914555,0.26786473195312976,0.002867895942808412,test
0.0069,5342,973603,355198,8,978945,1802.8453038674033,0.005456894922595243,0.9985046728971962,0.26730714380859133,0.01085446944259597,0.27023927576413764,0.002901120565974953,test
0.007,5342,970564,358237,8,975906,1797.2486187845304,0.005473887853953147,0.9985046728971962,0.2695941679754907,0.010888086289408676,0.27251712887072005,0.002935143406163443,test
0.0071,5342,967564,361237,8,972906,1791.7237569060774,0.005490766836672813,0.9985046728971962,0.2718518423751939,0.010921476586905676,0.2747657499038714,0.00296893695181473,test
0.0072,5342,964465,364336,8,969807,1786.0165745856355,0.005508312478668436,0.9985046728971962,0.2741840200300873,0.010956184491317808,0.27708857543111687,0.0030040640071807598,test
0.0073,5342,961414,367387,8,966756,1780.3977900552486,0.005525696246002094,0.9985046728971962,0.2764800748945854,0.010990570987114574,0.2793754230218319,0.0030388657626967915,test
0.0074,5342,958421,370380,8,963763,1774.8858195211787,0.005542856490651747,0.9985046728971962,0.27873248138735596,0.011024514169142298,0.2816187972725726,0.003073218841375613,test
