variant_id,roc_auc_test_bench_rs_only,roc_auc_test_bench_rs_history,pr_auc_test_bench_rs_only,pr_auc_test_bench_rs_history,policy_recall_test_bench_rs_only,policy_recall_test_bench_rs_history,policy_precision_test_bench_rs_only,policy_precision_test_bench_rs_history,policy_alerts_per_day_test_bench_rs_only,policy_alerts_per_day_test_bench_rs_history,delta_roc_auc_history_minus_rs,delta_pr_auc_history_minus_rs,delta_recall_history_minus_rs,gain_share_ntl,gain_share_ntl_spatial,gain_share_other,gain_share_outage_history,gain_share_time_calendar,gain_share_weather_availability,gain_share_weather_lagged,source_batch_dir,source_batch_id,buffer_minutes,analysis_role,event_rows_selected,model_key_muni_night_labels,current_panel_positive_labels,share_of_current_panel_positives
op0130_b000,0.8668209476163795,0.9124648132177928,0.02835609779031408,0.04945169908864558,NA,0.06134723336006415,NA,0.15284715284715283,NA,1.843462246777164,0.04564386560141331,0.0210956012983315,NA,0.10396804293771218,0.02203464359421267,3.709323186402477e-4,0.5955561918717537,0.0603527904247137,7.865151562825162e-6,0.21770953370140475,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260701_143905,20260701_143905,0,recommended,14733,11593,22996,0.5041311532440425
op0130_b030,0.8719463749717193,0.9156213592660905,0.03302843027212314,0.05805634617197034,0.08366533864541832,0.10213690691778342,0.08786610878661087,0.13505747126436782,4.841620626151013,3.845303867403315,0.04367498429437111,0.0250279158998472,0.01847156827236509,0.10247929090761242,0.02136999685475054,3.2472690369393805e-4,0.5964433162852912,0.05856800192933402,1.2448350971896458e-5,0.22080221876834596,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_152021,20260702_152021,30,recommended,16100,12619,22996,0.5487476082797008
op0130_b060,0.8720337235986907,0.9161058750225204,0.03689528176570044,0.06038056886562666,0.10685752330226364,0.08921438082556592,0.07898622047244094,0.1494701617401004,7.484346224677717,3.3020257826887662,0.0440721514238297,0.02348528709992622,-0.01764314247669772,0.09921762146997112,0.02009031415386366,3.5292781741045595e-4,0.6099779501714778,0.05997624039315225,6.302943618261407e-6,0.21037864305050644,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60,recommended,17529,13717,22996,0.5964950426161072
op0130_b120,0.8743161876730708,0.9164234245411016,0.0445437163090782,0.06872641303273147,0.11918982082575956,0.1854063879511815,0.09331164870908722,0.1101851851851852,9.058931860036832,11.933701657458563,0.04210723686803075,0.02418269672365327,0.06621656712542194,0.0952989953188696,0.01960299989816821,2.164132757834872e-4,0.6264344128481522,0.05955617924667773,1.7851318591646756e-5,0.1988731480937571,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120,recommended,21475,16817,22996,0.7313010958427553
