batch_id,variant_id,ablation_name,run_id,family,gain,gain_share,source_batch_dir,source_batch_id,buffer_minutes
20260702_152021,op0130_b030,bench_rs_only,20260702_152022_forecast_strict_op0130_b030_bench_rs_only,weather_availability,3.5244646342806404e-6,3.524464634280641e-6,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_152021,20260702_152021,30
20260702_152021,op0130_b030,bench_rs_only,20260702_152022_forecast_strict_op0130_b030_bench_rs_only,weather_lagged,0.4652657625461016,0.46526576254610175,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_152021,20260702_152021,30
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,ntl,0.0992176214699711,0.09921762146997112,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,ntl_spatial,0.02009031415386366,0.02009031415386366,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,other,3.529278174104559e-4,3.5292781741045595e-4,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,outage_history,0.6099779501714777,0.6099779501714778,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,time_calendar,0.05997624039315224,0.05997624039315225,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,weather_availability,6.302943618261405e-6,6.302943618261407e-6,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_history,20260702_155013_forecast_strict_op0130_b060_bench_rs_history,weather_lagged,0.2103786430505064,0.21037864305050644,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,ntl,0.3827130649937193,0.3827130649937195,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,ntl_spatial,0.08712589069727142,0.08712589069727146,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,other,6.23654184571787e-4,6.236541845717873e-4,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,time_calendar,0.07210864922461363,0.07210864922461366,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,weather_availability,2.6157977501506873e-5,2.6157977501506883e-5,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_154208,op0130_b060,bench_rs_only,20260702_154208_forecast_strict_op0130_b060_bench_rs_only,weather_lagged,0.45740258292232194,0.45740258292232217,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_154208,20260702_154208,60
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,ntl,0.0952989953188696,0.0952989953188696,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,ntl_spatial,0.01960299989816821,0.01960299989816821,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,other,2.1641327578348716e-4,2.164132757834872e-4,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,outage_history,0.626434412848152,0.6264344128481522,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,time_calendar,0.05955617924667772,0.05955617924667773,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,weather_availability,1.7851318591646753e-5,1.7851318591646756e-5,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_history,20260702_161301_forecast_strict_op0130_b120_bench_rs_history,weather_lagged,0.19887314809375709,0.1988731480937571,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,ntl,0.39344971904496007,0.3934497190449602,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,ntl_spatial,0.08582430509109734,0.08582430509109736,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,other,2.526242151225675e-4,2.5262421512256756e-4,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,time_calendar,0.06953301740010275,0.06953301740010276,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,weather_availability,1.6226443235024042e-5,1.6226443235024045e-5,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
20260702_160418,op0130_b120,bench_rs_only,20260702_160418_forecast_strict_op0130_b120_bench_rs_only,weather_lagged,0.450924107805482,0.4509241078054821,/Users/armandeaboudrar-meda/Desktop/CMCC/outages_nightlights/mexico/data/baselines/binary_threshold/timing_overpass/20260702_160418,20260702_160418,120
