metric,xgboost_value,xgboost_allrows,logistic_value,delta
roc_auc,0.7841335301338509,0.9187,0.7755300869221681,-0.008603443211682826
pr_auc,0.09609282171726827,0.0843,0.08944373660774532,-0.006649085109522945
brier_score,0.01547771421558895,0.0038,0.015554432276869864,7.67180612809143e-5
logloss,0.07334294257405267,0.0195,0.0740359665661081,6.930239920554249e-4
ece_equal,8.799302306648816e-4,2e-4,8.476132010161032e-4,-3.2317029648778464e-5
f1,0.04179554652755336,NA,0.16048898989107435,0.118693443363521
precision,0.021373485126698493,NA,0.12158632153882688,0.10021283641212839
recall,0.938926019820235,NA,0.23599907812860105,-0.7029269416916339
alerts_per_day,363.06666666666666,NA,16.04190476190476,-347.02476190476193
