split,n_rows,n_days,n_positive,prevalence,roc_auc,pr_auc,brier_score,logloss,ece_equal,best_threshold,f1_at_best_t,precision_at_best_t,recall_at_best_t,kappa_at_best_t,alerts_per_day_at_best_t
validation,91021,182,1438,0.01579855198250953,NA,NA,NA,NA,NA,0.065,0.15727247731646962,NA,NA,NA,NA
test,264648,525,4339,0.016395362897131283,0.7755300869221681,0.08944373660774532,0.015554432276869864,0.0740359665661081,8.476132010161032e-4,0.065,0.16048898989107435,0.12158632153882688,0.23599907812860105,0.14191907970249168,16.04190476190476
