split,n_rows,n_days,n_positive,prevalence,roc_auc,pr_auc,brier_score,logloss,ece_equal,ece_quantile,ece_quantile_fallback,calibration_intercept,calibration_slope,logloss_platt,brier_platt,ece_equal_platt,ece_quantile_platt,cal_intercept_platt,cal_slope_platt,logloss_isotonic,brier_isotonic,ece_equal_isotonic,ece_quantile_isotonic,cal_intercept_isotonic,cal_slope_isotonic,logloss_beta,brier_beta,ece_equal_beta,ece_quantile_beta,cal_intercept_beta,cal_slope_beta,best_threshold_from_val,f1_at_best_t,precision_at_best_t,recall_at_best_t,kappa_at_best_t,alerts_per_day_at_best_t
validation,447174,182,1695,0.0037904708234378563,0.7879642330708904,0.028370921019400915,0.10121471878150506,0.34134514438000263,0.2512463192208556,0.2512463192208554,FALSE,-4.909968274998492,1.0006761659330274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.08735456799542247,0.06454340473506201,0.13510324483775812,0.08264845115083486,19.494505494505493
test,1334151,543,5350,0.004010040842453365,0.8034580440790583,0.03489500543090484,0.11540785604766028,0.37601504755763,0.26770690863128027,0.2677069086312807,FALSE,-5.027564726529972,0.9863945711193456,0.023220028736192347,0.0039346597969323735,0.0013041335615900421,0.0013170857151404824,0.06878240846841406,1.0796197339049367,0.026996198875861212,0.004005080594535873,0.0012652587928179402,0.0018092245074373152,-3.5187013727163046,0.32616914756786325,0.02355551117345579,0.004006105965693157,0.002133784663651739,0.0021603560700843576,-0.9757567459841745,0.8753462818028909,0.82,0.07950615447547507,0.049626294043916254,0.19981308411214954,0.07355422599151713,39.67034990791897
