bin_lower,bin_upper,bin_label,bin_midpoint,n_obs,n_positive,mean_predicted,observed_rate,calibration_error,ci_lower,ci_upper,share_of_total_obs
0,0.001,"[0.000, 0.001)",5e-4,845564,173,2.532290932020921e-4,2.045971682805796e-4,4.86319249215125e-5,1.7629880926463997e-4,2.374367204796419e-4,0.6337843317585491
0.001,0.002,"[0.001, 0.002)",0.0015,118646,180,0.0014270779052088884,0.001517118149790132,9.00402445812435e-5,0.0013112103437362803,0.0017553041525934178,0.08892996369976112
0.002,0.003,"[0.002, 0.003)",0.0025,61227,169,0.002462849107106209,0.002760220164306597,2.973710572003879e-4,0.00237468554201555,0.0032081457677679563,0.04589210666558733
0.003,0.004,"[0.003, 0.004)",0.0035,42562,163,0.003477739273782055,0.003829707250599126,3.5196797681707115e-4,0.003286010395631786,0.004462960316947487,0.03190193613766358
0.004,0.005,"[0.004, 0.005)",0.0045000000000000005,32778,123,0.004481131870550053,0.003752516932088596,7.286149384614572e-4,0.0031462432210925977,0.004475093705160782,0.024568433408212412
0.005,0.006,"[0.005, 0.006)",0.0055,26628,131,0.005482173824492679,0.004919633468529368,5.625403559633112e-4,0.0041476998704417884,0.005834390899802158,0.019958760290252002
0.006,0.007,"[0.006, 0.007)",0.006500000000000001,22187,129,0.006482958940323704,0.005814215531617614,6.687434087060901e-4,0.004895788987859843,0.006903739178144609,0.01663005162084352
0.007,0.008,"[0.007, 0.008)",0.0075,18736,120,0.007485177552471222,0.0064047822374039285,0.001080395315067294,0.0053593435784617385,0.007652583942724408,0.014043387892375001
0.008,0.009000000000000001,"[0.008, 0.009)",0.0085,16161,132,0.008486684854914571,0.008167811397809541,3.1887345710502994e-4,0.006892273389370186,0.009677110201740793,0.012113321505586699
0.009000000000000001,0.01,"[0.009, 0.010)",0.0095000000000000015,13692,130,0.0094880553091564665,0.009494595384165937,6.540075009470181e-6,0.008002228925316261,0.011262119279500993,0.01026270639530308
0.01,0.015,"[0.010, 0.015)",0.0125,46526,520,0.012220435987437456,0.011176546447147832,0.0010438895402896248,0.01026084848982539,0.012172957989925952,0.03487311406280099
0.015,0.02,"[0.015, 0.020)",0.0175,25205,413,0.01726048198324085,0.016385637770283675,8.748442129571758e-4,0.014890433006577032,0.01802823404824427,0.018892164380193845
0.02,0.025,"[0.020, 0.025)",0.0225,14911,303,0.022327301723858366,0.020320568707665482,0.002006733016192884,0.01817637003055589,0.02271185935521686,0.011176396075106941
0.025,0.03,"[0.025, 0.030)",0.0275,10133,280,0.027348491433319425,0.02763248791078654,2.839964774671161e-4,0.02461551471286138,0.031007478022223842,0.0075950923096411126
0.03,0.035,"[0.030, 0.035)",0.0325,7429,225,0.032381557203175086,0.030286714228025306,0.00209484297514978,0.026625921628947547,0.03443302350462743,0.0055683352184272995
0.035,0.04,"[0.035, 0.040)",0.037500000000000006,5435,201,0.03735427861257955,0.03698252069917203,3.717579134075166e-4,0.032283446039772894,0.04233565471788971,0.004073751771725989
0.04,0.045,"[0.040, 0.045)",0.042499999999999996,4161,169,0.0423884525161667,0.04061523672194184,0.001773215794224861,0.03502898926962976,0.047048915063729685,0.0031188373729810195
0.045,0.05,"[0.045, 0.050)",0.0475,3334,145,0.047389640137072,0.04349130173965207,0.0038983383974199315,0.037077491119637894,0.050955886872051506,0.0024989675081756113
0.05,0.06,"[0.050, 0.060)",0.055,4987,251,0.05468669653191158,0.0503308602366152,0.0043558362952963794,0.04460163317077109,0.05675230944479365,0.003737957697442044
0.06,0.06999999999999999,"[0.060, 0.070)",0.065,3227,190,0.06470977271867424,0.05887821506042764,0.005831557658246604,0.051268873633740275,0.06753654090393314,0.002418766691326544
0.06999999999999999,0.08,"[0.070, 0.080)",0.075,2302,169,0.07462989408582267,0.07341442224152911,0.0012154718442935614,0.06345588602794956,0.08479431457149947,0.0017254418727715229
0.08,0.09,"[0.080, 0.090)",0.08499999999999999,1692,125,0.08477989495314804,0.07387706855791962,0.010902826395228424,0.06235567605239006,0.0873289878649658,0.0012682222626974008
0.09,0.1,"[0.090, 0.100)",0.095,1263,80,0.0948142012408588,0.06334125098970704,0.031472950251151766,0.05118729268628797,0.07814338060349726,9.466694549567478e-4
0.1,NA,"[0.100, NA)",NA,5365,829,0.1522606408566513,0.15452003727865796,0.0022593964220066487,0.14509573318826638,0.16443872998541986,0.0040212839476191226
