threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.0058,5243,994205,327329,3,999448,1850.8296296296296,0.005245895734445414,0.9994281357224553,0.2476886708930682,0.010437008681250212,0.25066099880914694,0.002590813195746509,test
0.0059,5243,990896,330638,3,996139,1844.7018518518519,0.005263321685025885,0.9994281357224553,0.25019257922989496,0.010471496976687287,0.25315500685871056,0.0026257121103562455,test
0.006,5243,987524,334010,3,992767,1838.4574074074073,0.005281198911728532,0.9994281357224553,0.252744159438955,0.010506877164926709,0.25569649828909086,0.0026615135267089875,test
0.0061,5243,984278,337256,3,989521,1832.4462962962964,0.005298523224873449,0.9994281357224553,0.2552003959035484,0.010541161900223871,0.25814302295783775,0.002696206438279693,test
0.0062,5243,981157,340377,3,986400,1826.6666666666667,0.005315287915652879,0.9994281357224553,0.2575620453200599,0.010574338019817556,0.26049533456940865,0.0027297775265126005,test
0.0063,5243,978062,343472,3,983305,1820.9351851851852,0.005332018041197797,0.9994281357224553,0.2599040206305702,0.010607444633610203,0.2628280498650869,0.0027632782726089654,test
0.0064,5243,974906,346628,3,980149,1815.0907407407408,0.005349186705286646,0.9994281357224553,0.2622921544205446,0.010641417908554439,0.26520674113266707,0.002797655988211753,test
0.0065,5243,971695,349839,3,976938,1809.1444444444444,0.005366768413143925,0.9994281357224553,0.26472190651167504,0.010676207309424712,0.26762688614540464,0.0028328595357984565,test
0.0066,5243,968638,352896,3,973881,1803.4833333333333,0.005383614630534942,0.9994281357224553,0.2670351273595685,0.010709540233289449,0.2699309606717014,0.0028665892587419507,test
0.0067,5243,965523,356011,3,970766,1797.7148148148149,0.005400889606764143,0.9994281357224553,0.269392236597772,0.010743720364093884,0.27227875005652785,0.0029011762645657652,test
0.0068,5243,962617,358917,3,967860,1792.3333333333333,0.005417105779761536,0.9994281357224553,0.27159119629158235,0.01077580448584224,0.274469015209756,0.0029336423021855177,test
