threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split,method
1e-4,1695,445241,238,0,446936,2455.6923076923076,0.0037924893049564143,1,5.342563847005134e-4,0.007556321342038335,0.0043227021248999275,4.052315039517738e-6,validation,raw
2e-4,1695,443562,1917,0,445257,2446.467032967033,0.0038067902357514873,1,0.0043032331490373285,0.007584707082639747,0.008077392692777309,3.2762475169153186e-5,validation,raw
3e-4,1695,440685,4794,0,442380,2430.6593406593406,0.0038315475383154753,1,0.01076145003468177,0.007633845634183414,0.014511129895745281,8.246261459658437e-5,validation,raw
4e-4,1695,437289,8190,0,438984,2412,0.0038611885626811,1,0.018384705002929432,0.007692674259495006,0.022105489138456173,1.4196354783137631e-4,validation,raw
5e-4,1695,433784,11695,0,435479,2392.7417582417584,0.0038922657579355145,1,0.026252640416271025,0.007754349526733063,0.0299436013721728,2.043436264030856e-4,validation,raw
6e-4,1695,430231,15248,0,431926,2373.21978021978,0.003924283326310525,1,0.034228325016442976,0.007817887048828355,0.037889054372570855,2.6860721053670566e-4,validation,raw
7e-4,1695,426975,18504,0,428670,2355.3296703296705,0.003954090559171391,1,0.0415373115231021,0.007877034610156496,0.04517033637912759,3.284306404927772e-4,validation,raw
8e-4,1695,423875,21604,0,425570,2338.296703296703,0.003982893531028973,1,0.04849611317256257,0.007934186043790155,0.05210276089396969,3.8623510768371336e-4,validation,raw
9e-4,1695,420926,24553,0,422621,2322.0934065934066,0.004010685697113963,1,0.05511595383845254,0.00798932870784981,0.058697509246959795,4.420078284315114e-4,validation,raw
0.001,1695,418072,27407,0,419767,2306.412087912088,0.004037954388982459,1,0.06152254090540744,0.008043429775400866,0.06507981233255959,4.967270286222654e-4,validation,raw
0.0011,1695,415342,30137,0,417037,2291.412087912088,0.004064387572325717,1,0.06765077590638391,0.008095870389652572,0.07118481843756569,5.49766782394402e-4,validation,raw
0.0012,1695,412600,32879,0,414295,2276.346153846154,0.004091287609070831,1,0.07380594820406798,0.00814923435659511,0.07731665973424215,6.037404164479969e-4,validation,raw
0.0013,1695,410081,35398,0,411776,2262.5054945054944,0.004116315666770283,1,0.07946053573793602,0.00819888214651088,0.08294981371904449,6.539553975249546e-4,validation,raw
0.0014,1695,407559,37920,0,409254,2248.6483516483518,0.004141682182703162,1,0.08512185759598095,0.008249198805691218,0.08858967650176441,7.048468697983534e-4,validation,raw
0.0015,1695,405197,40282,0,406892,2235.6703296703295,0.0041657245657324305,1,0.09042401549792471,0.008296886587189509,0.09387173672887959,7.530794142682169e-4,validation,raw
0.0016,1695,402825,42654,0,404520,2222.6373626373625,0.004190151290418273,1,0.09574862114712478,0.008345334367268564,0.09917615961572006,8.02080621196292e-4,validation,raw
0.0017,1695,400559,44920,0,402254,2210.186813186813,0.0042137554878261,1,0.10083528067540783,0.008392148513797534,0.10424353830947237,8.494295160861366e-4,validation,raw
0.0018,1695,398324,47155,0,400019,2197.9065934065934,0.0042372987283104055,1,0.10585235218719626,0.00843883957243213,0.10924159275807628,8.966539002089388e-4,validation,raw
0.0019,1695,396234,49245,0,397929,2186.423076923077,0.004259553840006635,1,0.11054393136376799,0.008482973995555825,0.11391538864066336,9.41292430338369e-4,validation,raw
0.002,1695,394073,51406,0,395768,2174.5494505494507,0.004282812152574236,1,0.11539488954585962,0.008529095790048383,0.11874795940730007,9.87941015675195e-4,validation,raw
0.0021,1695,392028,53451,0,393723,2163.313186813187,0.004305057108677929,1,0.11998545385977791,0.008573206075595951,0.12332112332112333,0.0010325551017728895,validation,raw
0.0022,1695,390056,55423,0,391751,2152.478021978022,0.0043267279470888395,1,0.12441214961872502,0.00861617604448895,0.1277310398189519,0.0010760158327661241,validation,raw
0.0023,1694,388092,57387,1,389786,2141.6813186813188,0.004345974457779397,0.9994100294985251,0.12882088717986706,0.008654315279668744,0.13212082992302773,0.0011146101363590675,validation,raw
0.0024,1694,386137,59342,1,387831,2130.9395604395604,0.004367881886698072,0.9994100294985251,0.13320942176847841,0.008697750599446507,0.13649272989932332,0.0011585416026914507,validation,raw
0.0025,1694,384308,61171,1,386002,2120.8901098901097,0.004388578297521774,0.9994100294985251,0.1373151147416601,0.008738783121870946,0.14058286036308015,0.0012000428119553026,validation,raw
0.0026,1694,382475,63004,1,384169,2110.8186813186812,0.0044095176862266345,0.9994100294985251,0.1414297868137443,0.008780295648207658,0.1446819358907271,0.0012420294946477771,validation,raw
0.0027,1694,380656,64823,1,382350,2100.8241758241757,0.004430495619197071,0.9994100294985251,0.14551303203966967,0.008821882852269916,0.14874970369475865,0.001284091694677605,validation,raw
0.0028,1694,378816,66663,1,380510,2090.714285714286,0.0044519197918582954,0.9994100294985251,0.1496434175348333,0.008864352899621931,0.1528644330842133,0.0013270468077572041,validation,raw
0.0029,1694,377006,68473,1,378700,2080.769230769231,0.0044731977818853975,0.9994100294985251,0.15370645978822794,0.008906531368708842,0.15691207449449207,0.0013697069985510791,validation,raw
0.003,1694,375301,70178,1,376995,2071.401098901099,0.004493428294804971,0.9994100294985251,0.15753380069543121,0.008946631809659617,0.16072490797765523,0.001410265415227021,validation,raw
0.0031,1694,373603,71876,1,375297,2062.0714285714284,0.004513758436651505,0.9994100294985251,0.16134542817955505,0.008986928104575164,0.16452208759901069,0.0014510219101381123,validation,raw
0.0032,1694,371929,73550,1,373623,2052.8736263736264,0.004533982115662044,0.9994100294985251,0.1651031810702637,0.009027011760693598,0.1682655968370254,0.0014915633253776179,validation,raw
