split,brier_score,logloss,ece_equal,ece_quantile,calibration_intercept,calibration_slope
validation,0.07233024018327851,0.2248942078640181,0.14393941073530853,0.14393941073531377,-4.748890118357304,0.899547814535105
test,0.06995536617814795,0.22034947676507366,0.13954422578364406,0.1395442257836637,-4.727479124444067,0.8955912357624438
