method,role,policy_type,policy_target,threshold,precision,recall,f1,alerts_per_day,precision_ci_lower,precision_ci_upper,recall_ci_lower,recall_ci_upper,f1_ci_lower,f1_ci_upper,precision_temporal_sd,recall_temporal_sd,f1_temporal_sd,f1_temporal_cv,n_temporal_windows,deployment_precision_floor,deployment_ready
platt,default,precision_floor,0.1,0.061,0.10464405743965781,0.26115135341212353,0.14941651216054094,24.244444444444444,0.09951658838673894,0.10913871521655406,0.25120446665043145,0.2709628011600807,0.14325670075321456,0.15533337180498724,0.03362235364554249,0.12785860568308935,0.051473992266731515,0.4310586848896519,18,0.05,TRUE
beta,sensitivity,precision_floor,0.1,0.058,0.10352013098161791,0.2651544033549371,0.148905422041428,24.883333333333333,0.0984292659847684,0.10796197561864744,0.2551941138338578,0.27561977649764646,0.1426765661541342,0.1547332692577758,0.03274981999131207,0.12821851505805845,0.0501633442721961,0.4174146691905684,18,0.05,TRUE
