method,n_windows,n_windows_valid,threshold_used,precision_mean,precision_sd,precision_min,precision_max,precision_cv,recall_mean,recall_sd,recall_min,recall_max,recall_cv,f1_mean,f1_sd,f1_min,f1_max,f1_cv,alerts_per_day_mean,alerts_per_day_sd,alerts_per_day_min,alerts_per_day_max,stability_note
beta,18,18,0.058,0.09742892806319411,0.03274981999131207,0.031578947368421054,0.16030534351145037,0.33614061698461833,0.1999799789696211,0.12821851505805845,0.022900763358778626,0.42578125,0.6411567583849785,0.1201762850583823,0.0501633442721961,0.026548672566371685,0.19889502762430944,0.4174146691905684,24.883333333333333,23.359686098929554,1.6,65.26666666666667,Fixed-threshold performance stability across rolling windows
platt,18,18,0.061,0.09751132763800448,0.03362235364554249,0.022222222222222223,0.15503875968992248,0.34480459306594824,0.19607901496136965,0.12785860568308935,0.015267175572519083,0.41796875,0.6520769482051881,0.11941295714737428,0.051473992266731515,0.018099547511312215,0.2021525503041647,0.4310586848896519,24.244444444444444,22.798721441045878,1.5666666666666667,63.93333333333333,Fixed-threshold performance stability across rolling windows
raw,18,18,0.91,0.10556196496108991,0.04237947595876725,0.015384615384615385,0.18446601941747573,0.40146539498756306,0.17682438142594736,0.12022996278685003,0.006756756756756757,0.38671875,0.6799399597345763,0.12018662570189717,0.0570591947124077,0.010204081632653062,0.2122186495176849,0.47475494364850124,20.342592592592595,19.597504861707463,1,55.266666666666666,Fixed-threshold performance stability across rolling windows
