sum_E_count,sum_actual_count,sum_E_minutes,sum_actual_minutes,level,group
569.6348978335037,441,255412.7768398891,205823,monthly,2020-07
503.37656548675034,387,228386.41660197912,200869,monthly,2020-08
405.36270673429357,243,171540.7117091053,171114,monthly,2020-09
229.7933466126648,418,110720.38113573821,375628,monthly,2020-10
166.5791781369281,208,83515.94122121726,474173,monthly,2020-11
134.89475189455592,174,62080.96551806096,180292,monthly,2020-12
138.1560905767987,142,63634.93172486966,129927,monthly,2021-01
126.87538378625207,568,57083.72606716864,495125,monthly,2021-02
178.6560863240368,157,76491.07910539431,257939,monthly,2021-03
267.4692879554719,262,115049.0498288792,277963,monthly,2021-04
432.2675795493804,647,194217.57129384365,532600,monthly,2021-05
593.7666359388357,662,263380.3588924043,444831,monthly,2021-06
658.8523903336196,651,308128.42077194666,635532,monthly,2021-07
568.4027431107902,837,276060.1697201993,953330,monthly,2021-08
636.3353420120443,715,297815.23258600465,575658,monthly,2021-09
374.59652475419335,320,185332.30757340425,268037,monthly,2021-10
190.48967987020765,139,91042.76342125244,159195,monthly,2021-11
166.88846594496218,113,74927.08602003852,124297,monthly,2021-12
18.65034586953539,31,6346.349288831032,14305,state,MEX.1
106.55864390602694,152,47754.1793098061,72645,state,MEX.10
53.27717907656456,25,20553.622017926275,9906,state,MEX.11
88.67375687413436,62,41613.34006079903,37180,state,MEX.12
113.08569130139504,116,53481.837705110716,68034,state,MEX.13
167.09499167556947,102,76293.53612340259,85733,state,MEX.14
187.96233787062354,145,74482.81573163811,57189,state,MEX.15
124.56721213600503,141,64371.28498398891,959736,state,MEX.16
96.47544533048868,89,35061.817841391945,30454,state,MEX.17
37.068604277483985,31,15836.370757795778,16338,state,MEX.18
423.8776179452741,563,185531.30649764833,388250,state,MEX.19
17.698747026687055,88,9442.612924696301,113714,state,MEX.2
643.8174326731598,535,391046.9993388977,867180,state,MEX.20
254.48573580342764,198,111693.28784899933,196731,state,MEX.21
27.665018859738797,14,15203.244497491392,21687,state,MEX.22
40.60008502823503,240,17106.712261472767,249940,state,MEX.23
428.7334546132185,478,195469.96226077707,231594,state,MEX.24
189.46327522686076,191,72708.7117528953,90332,state,MEX.25
202.09589868531793,180,80619.65702950087,75639,state,MEX.26
377.71148063270203,523,152043.9996890953,533216,state,MEX.27
351.3462453888043,601,175327.59287788745,574309,state,MEX.28
34.990639608290934,14,12682.63998644806,4356,state,MEX.29
43.75265688342094,78,15708.099953634368,30726,state,MEX.3
1087.0491511056923,1171,485009.8768966847,874661,state,MEX.30
57.897350687618506,134,25034.803335747543,100117,state,MEX.31
17.718734776289434,4,7865.458468975461,2586,state,MEX.32
31.57170578937456,30,11684.371127546401,8499,state,MEX.4
702.2861908708865,522,349760.9696605347,388877,state,MEX.5
167.7028611092634,270,66071.30085910008,146905,state,MEX.6
138.03900441936818,220,56878.97821978328,152263,state,MEX.7
28.034949957441523,23,10054.394525372774,17048,state,MEX.8
82.44521144640608,113,32079.75619751404,42183,state,MEX.9
