model,n_train,n_test,smearing_factor,MAE_original,RMSE_original,MAE_winsorized_99,RMSE_winsorized_99,correlation,winsorize_cap_min
xgb_overall,15951,5350,1.12730696633406,952.2256097038533,4793.75620355677,751.7210377412366,2355.634396310012,0.17899805036230648,18995.01000000003
xgb_environmental,12738,4150,1.1106785824000647,725.8058380618801,3963.6736575519567,568.9730958932053,1290.3755116514005,0.12763662709228515,9640.360000000008
xgb_technical,2601,1055,1.0079382749743646,1372.3518589454684,5811.061383527288,1287.8067783767492,5075.264506309792,0.333409643384609,38813.540000000154
