split,k,allocation,strict_k,precision_mean,precision_ci_lo,precision_ci_hi,lift_mean,lift_ci_lo,lift_ci_hi,n_boot_days
test,10,national,TRUE,0.1374327808471455,0.1257780847145488,0.14991252302025784,34.27216485981309,31.36578644859813,37.38428831775702,543
val,10,national,TRUE,0.1122510989010989,0.0956043956043956,0.1302335164835165,29.614025309734515,25.22230088495575,34.35813716814159,182
